epoch,loss,accuracy,time_elapsed
1,1.5087028403554394,47.08533653846154,12.5
2,0.7632317095678204,73.42748397435898,25.1
3,0.4974135814365042,84.31490384615384,37.39
4,0.39396592165727295,87.65024038461539,49.5
5,0.33964039511164223,89.52323717948718,61.88
